,Country_Area,Quantity,Value,year,month,day,date,price
295,North America,615107.0,579639.0,2013,7,15,2013-07-15,0.9423384874501509
296,Canada,387537.0,376434.0,2013,7,15,2013-07-15,0.9713498324030996
297,Mexico,227570.0,203204.0,2013,7,15,2013-07-15,0.8929296480203893
298,Europe,515982.0,711735.0,2013,7,15,2013-07-15,1.379379513238834
299,European Union,365198.0,609480.0,2013,7,15,2013-07-15,1.6689028965109338
300,Austria,32301.0,61132.0,2013,7,15,2013-07-15,1.8925729853564905
301,Belgium,10532.0,16929.0,2013,7,15,2013-07-15,1.6073870110140525
302,Czech Republic,21339.0,32266.0,2013,7,15,2013-07-15,1.5120671071746568
303,Finland,6202.0,9131.0,2013,7,15,2013-07-15,1.4722670106417284
304,France,26847.0,53212.0,2013,7,15,2013-07-15,1.9820464111446343
305,Germany,82522.0,140336.0,2013,7,15,2013-07-15,1.7005889338600615
306,Italy,32699.0,86236.0,2013,7,15,2013-07-15,2.637267194715435
307,Netherlands,51288.0,43408.0,2013,7,15,2013-07-15,0.8463578224925908
308,Poland,384.0,831.0,2013,7,15,2013-07-15,2.1640625
309,Spain,15437.0,24298.0,2013,7,15,2013-07-15,1.5740104942670208
310,Sweden,22992.0,52192.0,2013,7,15,2013-07-15,2.2700069589422407
311,United Kingdom,32631.0,50750.0,2013,7,15,2013-07-15,1.555269528975514
312,Other EU,30024.0,38760.0,2013,7,15,2013-07-15,1.2909672262190248
313,Norway,1696.0,3069.0,2013,7,15,2013-07-15,1.809551886792453
314,Russia,85831.0,42268.0,2013,7,15,2013-07-15,0.49245610560287073
315,Switzerland,674.0,3520.0,2013,7,15,2013-07-15,5.222551928783383
316,Turkey,53087.0,40508.0,2013,7,15,2013-07-15,0.7630493341119294
317,Ukraine,8832.0,12126.0,2013,7,15,2013-07-15,1.372961956521739
318,Other Europe,663.0,764.0,2013,7,15,2013-07-15,1.152337858220211
319,Euro Area,282907.0,465060.0,2013,7,15,2013-07-15,1.643861763759822
320,Pacific Rim Countries,778554.0,759630.0,2013,7,15,2013-07-15,0.9756934008431014
321,Australia,50194.0,26015.0,2013,7,15,2013-07-15,0.5182890385305017
322,China,160776.0,167046.0,2013,7,15,2013-07-15,1.0389983579638753
323,Indonesia,940.0,1734.0,2013,7,15,2013-07-15,1.8446808510638297
324,Japan,205872.0,207616.0,2013,7,15,2013-07-15,1.00847128312738
325,Countries(NICS),342404.0,340746.0,2013,7,15,2013-07-15,0.9951577668485181
326,Hong Kong,110.0,132.0,2013,7,15,2013-07-15,1.2
327,Korea,275990.0,250383.0,2013,7,15,2013-07-15,0.9072176528135077
328,Singapore,73.0,426.0,2013,7,15,2013-07-15,5.835616438356165
329,Taiwan,66231.0,89805.0,2013,7,15,2013-07-15,1.3559360420346966
330,Other Pacific Rim,18368.0,16473.0,2013,7,15,2013-07-15,0.8968314459930313
331,South/Central America,308622.0,189509.0,2013,7,15,2013-07-15,0.6140489012448885
332,Argentina,9711.0,18453.0,2013,7,15,2013-07-15,1.90021624961384
333,Brazil,291038.0,163482.0,2013,7,15,2013-07-15,0.5617204626200015
334,Chile,16.0,40.0,2013,7,15,2013-07-15,2.5
335,Colombia,1498.0,2041.0,2013,7,15,2013-07-15,1.3624833110814418
336,Venezuela,,,2013,7,15,2013-07-15,
337,Other S/C America,6358.0,5492.0,2013,7,15,2013-07-15,0.8637936458005662
338,Other Countries,68302.0,93378.0,2013,7,15,2013-07-15,1.3671341981201137
339,India,31798.0,46144.0,2013,7,15,2013-07-15,1.4511604503427888
340,South Africa,5878.0,8237.0,2013,7,15,2013-07-15,1.4013269819666554
341,Thailand,10702.0,13830.0,2013,7,15,2013-07-15,1.2922818164829004
342,Other,19925.0,25167.0,2013,7,15,2013-07-15,1.263086574654956
343,Total Census Basis,2611215.0,2488241.0,2013,8,15,2013-08-15,0.9529054482300385
344,North America,740201.0,662193.0,2013,8,15,2013-08-15,0.8946124093320598
345,Canada,436306.0,418936.0,2013,8,15,2013-08-15,0.9601884915632607
346,Mexico,303894.0,243257.0,2013,8,15,2013-08-15,0.8004666100679843
347,Europe,594779.0,697312.0,2013,8,15,2013-08-15,1.1723883997249398
348,European Union,359292.0,543354.0,2013,8,15,2013-08-15,1.5122908386493437
349,Austria,21738.0,41935.0,2013,8,15,2013-08-15,1.9291103137363144
350,Belgium,16385.0,20771.0,2013,8,15,2013-08-15,1.267683857186451
351,Czech Republic,11837.0,14408.0,2013,8,15,2013-08-15,1.2172003041311144
352,Finland,2262.0,6659.0,2013,8,15,2013-08-15,2.9438549955791333
353,France,19312.0,34654.0,2013,8,15,2013-08-15,1.7944283347141674
